thread,calc_amount,time
13,11,0.20314955711364746
14,11,0.23438286781311035
15,11,0.23439502716064453
16,11,0.2500178813934326
1,12,0.03125309944152832
2,12,0.046881914138793945
3,12,0.06250214576721191
4,12,0.06250452995300293
5,12,0.07813310623168945
6,12,0.10938501358032227
7,12,0.10938048362731934
8,12,0.14063644409179688
9,12,0.15626263618469238
10,12,0.18761086463928223
11,12,0.17179083824157715
12,12,0.1875150203704834
13,12,0.20314335823059082
14,12,0.2500174045562744
15,12,0.26564502716064453
16,12,0.26564550399780273
1,13,0.015625953674316406
2,13,0.03125262260437012
3,13,0.04687952995300293
4,13,0.06251025199890137
5,13,0.09375309944152832
6,13,0.09375572204589844
7,13,0.1406397819519043
8,13,0.14063143730163574
9,13,0.1406416893005371
10,13,0.17188310623168945
11,13,0.18752241134643555
12,13,0.20319032669067383
13,13,0.23433637619018555
14,13,0.2500183582305908
15,13,0.23439645767211914
16,13,0.2656433582305908
1,14,0.03125190734863281
2,14,0.04688215255737305
3,14,0.046875953674316406
4,14,0.06210470199584961
5,14,0.09415602684020996
6,14,0.10898470878601074
7,14,0.14103913307189941
8,14,0.14063334465026855
9,14,0.15626215934753418
10,14,0.17188763618469238
11,14,0.2187666893005371
12,14,0.2031397819519043
13,14,0.23439407348632812
14,14,0.23439359664916992
15,14,0.2812769412994385
16,14,0.2656395435333252
1,15,0.03125309944152832
2,15,0.031252145767211914
3,15,0.06250429153442383
4,15,0.07813811302185059
5,15,0.09381604194641113
6,15,0.10932493209838867
7,15,0.12500405311584473
8,15,0.1406700611114502
9,15,0.14060688018798828
10,15,0.1718883514404297
11,15,0.1875152587890625
12,15,0.20313429832458496
13,15,0.218855619430542
14,15,0.23430490493774414
15,15,0.23439478874206543
16,15,0.28131103515625
1,16,0.03121161460876465
2,16,0.03125286102294922
3,16,0.04687833786010742
4,16,0.06250953674316406
5,16,0.09375500679016113
6,16,0.09375429153442383
7,16,0.10938549041748047
8,16,0.1562788486480713
9,16,0.15624284744262695
10,16,0.1718919277191162
11,16,0.18751215934753418
12,16,0.1875154972076416
13,16,0.2031400203704834
14,16,0.2187671661376953
15,16,0.2656521797180176
16,16,0.28129029273986816
1,17,0.031229496002197266
2,17,0.031255245208740234
3,17,0.06252002716064453
4,17,0.0624847412109375
5,17,0.09375739097595215
6,17,0.09375715255737305
7,17,0.12500977516174316
8,17,0.14063572883605957
9,17,0.15634727478027344
10,17,0.18743610382080078
11,17,0.53128981590271
12,17,0.21876215934753418
