calc_amount,thread,time
4,1,0.03124237060546875
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.015625
4,7,0.01561737060546875
4,8,0.01563262939453125
4,9,0.0
4,10,0.015625
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.03125762939453125
4,15,0.0
4,16,0.0
5,1,0.0
5,2,0.0
5,3,0.01561737060546875
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.01563262939453125
5,16,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.015625
6,14,0.0
6,15,0.0
6,16,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.01563262939453125
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
8,1,0.015625
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.01561737060546875
8,15,0.0
8,16,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.01563262939453125
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.015625
10,15,0.0
10,16,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
11,9,0.0
11,10,0.0
11,11,0.01561737060546875
11,12,0.0
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.01563262939453125
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.015625
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.0
13,8,0.0
13,9,0.0
13,10,0.0
13,11,0.0
13,12,0.0
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.015625
14,6,0.0
14,7,0.0
14,8,0.0
14,9,0.0
14,10,0.0
14,11,0.0
14,12,0.0
14,13,0.0
14,14,0.01561737060546875
14,15,0.0
14,16,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.01563262939453125
15,9,0.0
15,10,0.0
15,11,0.0
15,12,0.0
15,13,0.0
15,14,0.0
15,15,0.0
15,16,0.015625
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.01563262939453125
16,10,0.0
16,11,0.0
16,12,0.0
16,13,0.0
16,14,0.0
16,15,0.0
16,16,0.015625
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.015625
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.0
17,9,0.0
17,10,0.0
17,11,0.01563262939453125
17,12,0.0
17,13,0.0
17,14,0.0
17,15,0.0
17,16,0.0
18,1,0.03125762939453125
18,2,0.01561737060546875
18,3,0.0
18,4,0.015625
18,5,0.0
18,6,0.01563262939453125
18,7,0.0
18,8,0.015625
18,9,0.01563262939453125
18,10,0.0156097412109375
18,11,0.0
18,12,0.01563262939453125
18,13,0.015625
18,14,0.0
18,15,0.01563262939453125
18,16,0.0
19,1,0.046875
19,2,0.03125762939453125
19,3,0.015625
19,4,0.01561737060546875
19,5,0.01563262939453125
19,6,0.03125762939453125
19,7,0.015625
19,8,0.01561737060546875
19,9,0.015625
19,10,0.03125762939453125
19,11,0.03125
19,12,0.03125762939453125
19,13,0.015625
19,14,0.046875
19,15,0.03125762939453125
19,16,0.03124237060546875
20,1,0.1093902587890625
20,2,0.046875
20,3,0.04688262939453125
20,4,0.03125
20,5,0.03125762939453125
20,6,0.03125762939453125
20,7,0.03124237060546875
20,8,0.03125762939453125
20,9,0.046875
20,10,0.03125762939453125
20,11,0.03124237060546875
20,12,0.0468902587890625
20,13,0.046875
20,14,0.0625
20,15,0.0625
20,16,0.07813262939453125
21,1,0.218780517578125
21,2,0.109375
21,3,0.09375762939453125
21,4,0.0625
21,5,0.06250762939453125
21,6,0.0625152587890625
21,7,0.0625
